date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-02-22,387.06,389.62,386.74,387.03,358.3954919233293,66517089,0.0000,1.0
2021-02-23,384.66,388.945,380.2,387.5,358.8307188597527,107284127,0.0000,1.0
2021-02-24,386.33,392.23,385.27,391.77,362.7848018778976,72433946,0.0000,1.0
2021-02-25,390.41,391.88,380.7789,382.33,354.0432225590949,144712701,0.0000,1.0
2021-02-26,384.35,385.58,378.23,380.36,352.21897348514983,149530614,0.0000,1.0
2021-03-01,385.59,390.92,380.57199999999995,389.58,360.756829557116,105348798,0.0000,1.0
2021-03-02,389.82,390.07,386.0,386.54,357.9417446917389,79595332,0.0000,1.0
2021-03-03,385.79,386.83,381.31,381.42,353.20054912899843,119940211,0.0000,1.0
2021-03-04,381.22,384.0,371.88,376.7,348.82975946959704,183433020,0.0000,1.0
2021-03-05,380.46,384.76,372.64,383.63,355.24704174494696,152039624,0.0000,1.0
2021-03-08,384.66,387.68,381.42,381.72,353.4783535565028,123149245,0.0000,1.0
2021-03-09,385.85,389.91,381.7299,387.17,358.525133989498,113633556,0.0000,1.0
2021-03-10,389.69,391.4,388.1702,389.58,360.756829557116,109899410,0.0000,1.0
2021-03-11,392.23,395.65,391.74,393.53,364.41458785258965,86245040,0.0000,1.0
2021-03-12,392.07,394.21,391.2,394.06,364.905375674514,64653565,0.0000,1.0
2021-03-15,394.33,396.685,392.03,396.41,367.0815103566312,73592302,0.0000,1.0
2021-03-16,397.07,397.83,395.08,395.91,366.61850297745735,73722506,0.0000,1.0
2021-03-17,394.53,398.12,393.3,397.26,367.8686229012268,97959265,0.0000,1.0
2021-03-18,394.475,396.72,390.75,391.48,362.5162575979768,115349101,0.0000,1.0
2021-03-19,389.88,391.569,387.15,389.48,361.847478627321,113624490,1.2778,1.0
2021-03-22,390.03,394.07,389.97,392.59,364.73683278807624,73778646,0.0000,1.0
2021-03-23,391.91,393.46,388.66,389.5,361.86605968301717,90686552,0.0000,1.0
2021-03-24,391.0,392.75,387.47,387.52,360.0265351690958,97588644,0.0000,1.0
2021-03-25,385.98,390.55,383.9,389.7,362.0518702399789,116128622,0.0000,1.0
2021-03-26,390.93,396.41,390.29,395.98,367.886321728578,114409114,0.0000,1.0
2021-03-29,394.4,396.75,392.81,395.78,367.7005111716162,108107626,0.0000,1.0
